ano,estado,municipio,diasemchuva,precipitacao,riscofogo,frp,fococalor,indrisco,indriscocat,IPS Amazônia,Media IPS,Ranking IPS,Necessidades Humanas Básicas,Fundamentos para o Bem-Estar,Oportunidades,Nutrição e cuidados médicos básicos,Água e saneamento,Moradia,Segurança pessoal,Acesso ao conhecimento básico,Acesso à informação e comunicação,Saúde e bem-estar,Qualidade do meio ambiente,Direitos individuais,Liberdade individual e de escolha,Tolerância e inclusão,Acesso à educação superior,Mortalidade infantil até 5 anos,Mortalidade materna,Mortalidade por desnutrição,Mortalidade por doenças infecciosas,Subnutrição,Abastecimento de água,Esgotamento sanitário,Índice de atendimento de agua,Coleta de lixo,Moradias com iluminação adequada,Moradias com parede adequada,Moradias com piso adequado,Assassinatos de jovens,Assassinatos de jovens Taxa,Homicídios,Homicídios Taxa,Mortes por acidente no trânsito,Abandono escolar ensino fundamental,Distorção idade-série ensino fundamental,Distorção idade-série ensino médio,Qualidade da educação Ideb ensino fundamental,Reprovação escolar ensino fundamental,Densidade internet banda-larga,Densidade telefonia fixa,Densidade telefonia movel,Densidade TV por assinatura,Mortalidade por diabetes mellitus,Mortalidade por câncer,Mortalidade por doenças circulatórias,Mortalidade por doenças respiratórias,Mortalidade por suicídios,Áreas Protegidas,Desmatamento acumulado,Desmatamento recente,Emissões CO2,Focos de calor por habitantes,Diversidade Partidária,Transporte Público,"Acesso à cultura, esporte e lazer",Gravidez na infância e adolescência,Trabalho Infantil,Vulnerabilidade familiar,Violência contra indígenas,Violência contra indígenas Taxa,Violência contra mulheres,Violência infantil,Violência infantil Taxa,Empregos ensino superior,Mulheres com empregos ensino superior
2014,ACRE,TARAUACA,0.9,0.24,0.08,0.0,1137,107.27,Q3,51.42,54.45,605,58.38,59.34,36.54,91.16,33.38,67.46,41.53,54.58,12.3,87.91,82.59,20.97,58.11,63.8,3.3,23.58,1.29,9.53,7.15,5.59,39.83,28.07,28.58,47.4,56.43,86.33,75.41,43.46,6.0,24.49,5.0,5.9,4.4,41.9,37.1,4.6,9.8,7.79,9.63,46.11,3.28,16.68,35.73,66.7,28.59,4.76,56.47,7.27,5.38,31.17,13.18,63.64,0.99,3.0,35.04,108.37,33.09,1.76,2.0,98.96,42.07,3.0,4.84,3.06
2014,ACRE,XAPURI,0.8,0.23,0.08,0.0,794,68.44,Q2,49.81,54.45,706,59.09,59.89,30.45,90.24,47.21,50.6,48.31,63.14,14.88,82.58,78.96,14.19,60.4,40.78,6.44,6.54,0.0,15.75,26.25,3.67,42.65,54.93,48.75,51.23,69.89,51.98,32.43,55.27,6.0,10.75,4.0,9.0,3.1,34.8,35.0,4.25,7.3,8.2,13.09,53.73,6.11,15.75,47.25,94.5,47.25,10.5,58.16,24.28,3.65,65.86,20.15,44.44,0.35,4.0,34.97,144.12,29.41,0.0,1.0,300.0,434.25,4.0,8.72,6.41
2014,AMAPA,AMAPA,1.3,0.33,0.23,0.0,2080,502.8,Q4,52.45,54.45,529,59.59,59.45,38.32,91.21,29.81,75.46,41.89,46.11,18.99,84.89,87.81,24.49,54.66,67.16,6.97,7.09,6.49,0.0,24.35,3.04,10.96,33.85,19.43,76.57,87.66,85.04,56.72,52.85,6.0,22.88,5.0,3.69,6.2,30.1,47.3,3.15,11.0,6.54,14.06,89.27,8.85,22.15,22.15,77.53,44.3,11.63,65.45,1.28,1.04,27.36,13.44,77.78,0.35,3.0,36.17,277.19,42.55,0.0,1.0,216.66,34.23,2.0,10.29,6.43
2014,AMAPA,CALCOENE,0.9,0.1,0.14,0.0,973,146.73,Q3,52.01,54.45,564,57.02,60.13,38.89,88.44,26.89,74.46,38.27,47.08,13.01,88.55,91.9,24.69,53.06,77.14,0.67,51.55,5.24,0.0,9.15,3.77,37.73,21.78,11.84,73.69,81.47,83.27,62.06,89.4,6.0,37.13,5.0,25.44,3.6,29.6,41.5,3.05,13.9,5.71,17.01,40.02,4.4,0.0,54.5,36.61,27.46,9.15,80.4,1.37,3.04,26.24,9.29,77.78,0.5,2.0,36.6,323.29,34.02,0.0,1.0,127.82,27.71,2.0,1.2,0.5
2014,AMAPA,CUTIAS,3.0,0.99,0.44,0.0,210,95.5,Q2,55.64,54.45,269,69.65,53.71,43.56,89.4,36.44,77.46,75.3,53.79,9.74,84.46,66.83,24.53,49.28,100.0,0.43,24.69,12.05,0.0,0.0,5.42,78.91,31.13,51.98,73.57,80.52,84.86,71.59,23.42,5.0,0.0,1.0,12.47,3.3,24.9,52.6,3.3,9.6,2.53,4.76,58.78,2.18,0.0,51.29,68.21,40.73,17.05,0.01,8.95,0.84,61.1,10.25,77.78,0.38,2.0,37.04,830.93,27.16,0.0,1.0,0.0,0.0,1.0,1.32,0.0
2014,AMAPA,FERREIRA GOMES,1.7,0.41,0.31,0.0,138,44.18,Q2,53.99,54.45,408,60.07,57.88,44.01,93.83,35.6,74.52,36.31,48.18,11.34,85.64,86.37,25.6,54.84,79.5,16.09,21.39,0.0,0.0,13.17,3.91,71.27,24.96,35.43,75.82,78.81,94.45,54.48,111.62,6.0,37.2,5.0,37.2,3.0,29.5,43.5,3.25,14.0,3.34,7.3,43.38,15.22,0.0,39.52,52.69,52.69,13.17,58.59,2.79,0.82,22.48,4.14,77.78,1.19,3.0,36.9,455.33,26.2,0.0,1.0,30.87,41.08,3.0,28.0,12.36
2014,AMAPA,ITAUBAL,0.8,0.16,0.17,0.0,83,14.93,Q1,53.84,54.45,419,64.98,54.08,42.45,91.54,37.62,59.98,70.79,46.17,8.9,92.55,68.68,25.39,58.59,82.97,2.86,33.06,0.0,0.0,18.56,3.9,60.59,17.46,32.65,59.35,57.14,90.51,39.12,0.0,1.0,21.09,5.0,0.0,5.8,33.5,45.7,3.3,10.0,1.62,3.89,53.75,4.61,18.56,18.56,37.13,18.56,0.0,0.0,5.54,0.54,19.37,5.72,77.78,1.03,2.0,24.79,543.33,33.88,0.0,1.0,0.0,55.19,3.0,4.14,2.69
2014,AMAPA,LARANJAL DO JARI,1.3,0.39,0.31,0.0,250,79.5,Q2,58.02,54.45,124,65.14,62.58,46.34,92.11,45.1,81.69,41.66,53.1,8.34,91.98,96.9,21.3,61.0,97.35,5.72,26.1,0.0,2.02,16.18,4.43,90.54,51.74,35.6,81.02,88.77,86.99,71.89,64.87,6.0,23.71,5.0,5.1,2.9,33.5,41.8,3.45,11.2,0.32,5.82,48.28,5.15,10.11,24.27,48.54,20.22,2.02,94.92,0.64,4.01,9.84,1.46,66.67,0.54,3.0,32.13,109.29,25.1,0.0,1.0,23.58,0.0,1.0,8.2,5.43
2014,AMAPA,MACAPA,1.0,0.21,0.18,0.0,688,132.68,Q3,57.3,54.45,160,62.9,61.57,47.41,92.75,42.97,76.95,38.94,60.09,33.23,84.04,68.91,22.1,80.08,60.99,26.48,22.86,0.41,2.84,13.37,4.07,60.4,43.97,36.92,90.4,66.02,93.01,65.15,71.97,6.0,33.61,5.0,21.44,3.0,24.1,33.8,3.65,10.5,13.06,38.78,105.98,20.72,20.87,58.34,83.87,35.86,3.85,0.05,6.32,1.55,2.49,0.63,60.87,2.5,10.0,24.56,28.63,31.64,2.81,3.0,52.1,59.37,3.0,40.74,23.48
2014,AMAPA,MAZAGAO,0.8,0.32,0.29,0.0,539,161.89,Q3,52.65,54.45,508,56.46,56.46,45.05,90.18,14.54,61.65,59.45,49.65,6.04,90.4,79.74,28.03,57.97,91.48,2.69,25.46,0.0,11.48,18.86,3.29,10.16,12.08,12.78,36.59,35.35,98.14,72.35,18.91,4.0,15.05,4.0,10.03,3.1,31.5,41.3,3.1,12.1,1.14,2.99,32.54,5.01,4.72,9.43,75.45,14.15,17.22,44.38,0.89,7.39,45.04,10.46,81.82,2.09,2.0,30.09,335.12,27.08,0.0,1.0,0.0,12.87,2.0,4.65,2.09
